"code","des"
"0230U","ar full sequence analysis"
"0231U","cacna1a full gene analysis"
"0232U","cstb full gene analysis"
"0233U","fxn gene analysis"
"0234U","mecp2 full gene analysis"
"0235U","pten full gene analysis"
"0236U","smn1&smn2 full gene analysis"
"0237U","car ion chnlpthy gen seq pnl"
"0238U","onc lnch syn gen dna seq aly"
"0239U","trgt gen seq alys pnl 311+"
"0240U","nfct ds vir resp rna 3 trgt"
"0241U","nfct ds vir resp rna 4 trgt"
"0242U","trgt gen seq alys pnl 55-74"
"0244U","onc solid orgn dna 257 genes"
"0245U","onc thyr mut alys 10 gen&37"
"0246U","rbc dna gnotyp 16 bld groups"
"0250U","onc sld org neo dna 505 gene"
"0258U","ai psor mrna 50-100 gen alg"
"0260U","rare ds id opt genome mapg"
"0261U","onc clrct ca img alys w/ai"
"0262U","onc sld tum rtpcr 7 gen"
"0264U","rare ds id opt genome mapg"
"0265U","rar do whl gn&mtcdrl dna als"
"0266U","unxpl cnst hrtbl do gn xprsn"
"0267U","rare do id opt gen mapg&seq"
"0268U","hem ahus gen seq alys 15 gen"
"0269U","hem aut dm cgen trmbctpna 14"
"0270U","hem cgen coagj do 20 genes"
"0271U","hem cgen neutropenia 23 gen"
"0272U","hem genetic bld do 51 genes"
"0273U","hem gen hyprfibrnlysis 8 gen"
"0274U","hem gen pltlt do 43 genes"
"0276U","hem inh thrombocytopenia 23"
"0277U","hem gen pltlt funcj do 31"
"0278U","hem gen thrombosis 12 genes"
"0282U","rbc dna gntyp 12 bld grp gen"
"36415","routine venipuncture"
"78110","plasma volume single"
"78111","plasma volume multiple"
"78120","red cell mass single"
"78121","red cell mass multiple"
"78122","blood volume"
"78130","red cell survival study"
"78191","platelet survival"
"78267","breath tst attain/anal c-14"
"78268","breath test analysis c-14"
"78725","kidney function study"
"C9803","hopd covid-19 spec collect"
"G0027","semen analysis"
"G0103","psa screening"
"G0123","screen cerv/vag thin layer"
"G0124","screen c/v thin layer by md"
"G0141","scr c/v cyto,autosys and md"
"G0143","scr c/v cyto,thinlayer,rescr"
"G0144","scr c/v cyto,thinlayer,rescr"
"G0145","scr c/v cyto,thinlayer,rescr"
"G0147","scr c/v cyto, automated sys"
"G0148","scr c/v cyto, autosys, rescr"
"G0306","cbc/diffwbc w/o platelet"
"G0307","cbc without platelet"
"G0328","fecal blood scrn immunoassay"
"G0416","prostate biopsy, any mthd"
"G0432","eia hiv-1/hiv-2 screen"
"G0433","elisa hiv-1/hiv-2 screen"
"G0435","oral hiv-1/hiv-2 screen"
"G0475","hiv combination assay"
"G0476","hpv combo assay ca screen"
"G2023","specimen collect covid-19"
"G2024","spec coll snf/lab covid-19"
"G9143","warfarin respon genetic test"
"P2028","cephalin floculation test"
"P2029","congo red blood test"
"P2033","blood thymol turbidity"
"P2038","blood mucoprotein"
"P3000","screen pap by tech w md supv"
"P3001","screening pap smear by phys"
"P9612","catheterize for urine spec"
"P9615","urine specimen collect mult"
"Q0111","wet mounts/ w preparations"
"Q0112","potassium hydroxide preps"
"Q0113","pinworm examinations"
"Q0114","fern test"
"Q0115","post-coital mucous exam"
"U0001","2019-ncov diagnostic p"
"U0002","covid-19 lab test non-cdc"
"U0003","cov-19 amp prb hgh thruput"
"U0004","cov-19 test non-cdc hgh thru"
"U0005","infec agen detec ampli probe"
"90901","biofeedback train any meth"
"90912","bfb training 1st 15 min"
"90913","bfb training ea addl 15 min"
"92507","speech/hearing therapy"
"92508","speech/hearing therapy"
"92520","laryngeal function studies"
"92521","evaluation of speech fluency"
"92522","evaluate speech production"
"92523","speech sound lang comprehen"
"92524","behavral qualit analys voice"
"92526","oral function therapy"
"92597","oral speech device eval"
"92607","ex for speech device rx 1hr"
"92608","ex for speech device rx addl"
"92609","use of speech device service"
"92610","evaluate swallowing function"
"92611","motion fluoroscopy/swallow"
"92612","endoscopy swallow tst (fees)"
"92614","laryngoscopic sensory test"
"92616","fees w/laryngeal sense test"
"93797","cardiac rehab"
"93798","cardiac rehab/monitor"
"95851","range of motion measurements"
"95852","range of motion measurements"
"95992","canalith repositioning proc"
"96000","motion analysis video/3d"
"96001","motion test w/ft press meas"
"96002","dynamic surface emg"
"96003","dynamic fine wire emg"
"96105","assessment of aphasia"
"96125","cognitive test by hc pro"
"97010","hot or cold packs therapy"
"97012","mechanical traction therapy"
"97016","vasopneumatic device therapy"
"97018","paraffin bath therapy"
"97022","whirlpool therapy"
"97024","diathermy eg microwave"
"97026","infrared therapy"
"97028","ultraviolet therapy"
"97032","electrical stimulation"
"97033","electric current therapy"
"97034","contrast bath therapy"
"97035","ultrasound therapy"
"97036","hydrotherapy"
"97039","physical therapy treatment"
"97110","therapeutic exercises"
"97112","neuromuscular reeducation"
"97113","aquatic therapy/exercises"
"97116","gait training therapy"
"97124","massage therapy"
"97129","ther ivntj 1st 15 min"
"97130","ther ivntj ea addl 15 min"
"97139","physical medicine procedure"
"97140","manual therapy"
"97150","group therapeutic procedures"
"97161","pt eval low complex 20 min"
"97162","pt eval mod complex 30 min"
"97163","pt eval high complex 45 min"
"97164","pt re-eval est plan care"
"97165","ot eval low complex 30 min"
"97166","ot eval mod complex 45 min"
"97167","ot eval high complex 60 min"
"97168","ot re-eval est plan care"
"97530","therapeutic activities"
"97533","sensory integration"
"97535","self care mngment training"
"97537","community/work reintegration"
"97542","wheelchair mngment training"
"97545","work hardening"
"97546","work hardening add-on"
"97597","rmvl devital tis 20cm/<"
"97598","rmvl devital tis addl 20 cm<"
"97602","wound(s) care non-selective"
"97605","neg press wound tx < 50 cm"
"97606","neg press wound tx > 50 cm"
"97607","neg press wnd tx </=50 sq cm"
"97608","neg press wound tx >50 cm"
"97610","low frequency non-thermal us"
"97750","physical performance test"
"97755","assistive technology assess"
"97760","orthotic mgmt&trainj 1st enc"
"97761","prosthetic trainj 1st enc"
"97763","orth/prostc mgmt sbsq enc"
"97799","physical medicine procedure"
"98966","hc pro phone call 5-10 min"
"98967","hc pro phone call 11-20 min"
"98968","hc pro phone call 21-30 min"
"98970","qnhp ol dig assmt&mgmt 5-10"
"98971","qnhp ol dig assmt&mgmt 11-20"
"98972","qnhp ol dig assmt&mgmt 21+"
"98975","rem ther mntr 1st setup&edu"
"98976","rem ther mntr dev sply resp"
"98977","rem ther mntr dv sply mscskl"
"98980","rem ther mntr 1st 20 min"
"98981","rem ther mntr ea addl 20 min"
"G0281","elec stim unattend for press"
"G0283","elec stim other than wound"
"G0329","electromagntic tx for ulcers"
"G0451","development test interp & rep"
"G2250","remot img sub by pt, non e/m"
"G2251","brief chkin, 5-10, non-e/m"
"0042T","ct perfusion w/contrast cbf"
"0174T","cad cxr with interp"
"0175T","cad cxr remote"
"0330T","tear film img uni/bi w/i&r"
"0331T","heart symp image plnr"
"0332T","heart symp image plnr spect"
"0422T","tactile breast img uni/bi"
"0508T","pls echo us b1 dns meas tib"
"0558T","ct scan f/biomchn ct alys"
"0633T","ct breast w/3d uni c-"
"0634T","ct breast w/3d uni c+"
"0635T","ct breast w/3d uni c-/c+"
"0636T","ct breast w/3d bi c-"
"0637T","ct breast w/3d bi c+"
"0638T","ct breast w/3d bi c-/c+"
"51798","us urine capacity measure"
"70100","x-ray exam of jaw"
"70110","x-ray exam of jaw"
"70120","x-ray exam of mastoids"
"70130","x-ray exam of mastoids"
"70134","x-ray exam of middle ear"
"70140","x-ray exam of facial bones"
"70150","x-ray exam of facial bones"
"70160","x-ray exam of nasal bones"
"70190","x-ray exam of eye sockets"
"70200","x-ray exam of eye sockets"
"70210","x-ray exam of sinuses"
"70220","x-ray exam of sinuses"
"70240","x-ray exam pituitary saddle"
"70250","x-ray exam of skull"
"70260","x-ray exam of skull"
"70300","x-ray exam of teeth"
"70310","x-ray exam of teeth"
"70320","full mouth x-ray of teeth"
"70328","x-ray exam of jaw joint"
"70330","x-ray exam of jaw joints"
"70336","magnetic image jaw joint"
"70350","x-ray head for orthodontia"
"70355","panoramic x-ray of jaws"
"70360","x-ray exam of neck"
"70370","throat x-ray & fluoroscopy"
"70371","speech evaluation complex"
"70380","x-ray exam of salivary gland"
"70450","ct head/brain w/o dye"
"70460","ct head/brain w/dye"
"70470","ct head/brain w/o & w/dye"
"70480","ct orbit/ear/fossa w/o dye"
"70481","ct orbit/ear/fossa w/dye"
"70482","ct orbit/ear/fossa w/o&w/dye"
"70486","ct maxillofacial w/o dye"
"70487","ct maxillofacial w/dye"
"70488","ct maxillofacial w/o & w/dye"
"70490","ct soft tissue neck w/o dye"
"70491","ct soft tissue neck w/dye"
"70492","ct sft tsue nck w/o & w/dye"
"70496","ct angiography head"
"70498","ct angiography neck"
"70540","mri orbit/face/neck w/o dye"
"70542","mri orbit/face/neck w/dye"
"70543","mri orbt/fac/nck w/o & w/dye"
"70544","mr angiography head w/o dye"
"70545","mr angiography head w/dye"
"70546","mr angiograph head w/o&w/dye"
"70547","mr angiography neck w/o dye"
"70548","mr angiography neck w/dye"
"70549","mr angiograph neck w/o&w/dye"
"70551","mri brain w/o dye"
"70552","mri brain w/dye"
"70553","mri brain w/o & w/dye"
"70554","fmri brain by tech"
"70555","fmri brain by phys/psych"
"71045","xray exam chest 1 view"
"71046","x-ray exam chest 2 views"
"71047","x-ray exam chest 3 views"
"71048","x-ray exam chest 4+ views"
"71100","x-ray exam of ribs"
"71101","x-ray exam of ribs/chest"
"71110","x-ray exam of ribs"
"71111","x-ray exam of ribs/chest"
"71120","x-ray exam of breastbone"
"71130","x-ray exam of breastbone"
"71250","ct thorax dx c-"
"71260","ct thorax dx c+"
"71270","ct thorax dx c-/c+"
"71271","ct thorax lung cancer scr c-"
"71275","ct angiography chest"
"71550","mri chest w/o dye"
"71551","mri chest w/dye"
"71552","mri chest w/o & w/dye"
"71555","mri angio chest w or w/o dye"
"72020","x-ray exam of spine"
"72040","x-ray exam neck spine 3/<vws"
"72050","x-ray exam of neck spine"
"72052","x-ray exam of neck spine"
"72070","x-ray exam of thoracic spine"
"72072","x-ray exam of thoracic spine"
"72074","x-ray exam of thoracic spine"
"72080","x-ray exam of trunk spine"
"72081","x-ray exam entire spi 1 vw"
"72082","x-ray exam entire spi 2/3 vw"
"72083","x-ray exam entire spi 4/5 vw"
"72084","x-ray exam entire spi 6/> vw"
"72100","x-ray exam of lower spine"
"72110","x-ray exam of lower spine"
"72114","x-ray exam of lower spine"
"72120","x-ray exam of lower spine"
"72125","ct neck spine w/o dye"
"72126","ct neck spine w/dye"
"72127","ct neck spine w/o & w/dye"
"72128","ct chest spine w/o dye"
"72129","ct chest spine w/dye"
"72130","ct chest spine w/o & w/dye"
"72131","ct lumbar spine w/o dye"
"72132","ct lumbar spine w/dye"
"72133","ct lumbar spine w/o & w/dye"
"72141","mri neck spine w/o dye"
"72142","mri neck spine w/dye"
"72146","mri chest spine w/o dye"
"72147","mri chest spine w/dye"
"72148","mri lumbar spine w/o dye"
"72149","mri lumbar spine w/dye"
"72156","mri neck spine w/o & w/dye"
"72157","mri chest spine w/o & w/dye"
"72158","mri lumbar spine w/o & w/dye"
"72159","mr angio spine w/o&w/dye"
"72170","x-ray exam of pelvis"
"72190","x-ray exam of pelvis"
"72191","ct angiograph pelv w/o&w/dye"
"72192","ct pelvis w/o dye"
"72193","ct pelvis w/dye"
"72194","ct pelvis w/o & w/dye"
"72195","mri pelvis w/o dye"
"72196","mri pelvis w/dye"
"72197","mri pelvis w/o & w/dye"
"72198","mr angio pelvis w/o & w/dye"
"72200","x-ray exam sacroiliac joints"
"72202","x-ray exam sacroiliac joints"
"72220","x-ray exam of tailbone"
"73000","x-ray exam of collar bone"
"73010","x-ray exam of shoulder blade"
"73020","x-ray exam of shoulder"
"73030","x-ray exam of shoulder"
"73050","x-ray exam of shoulders"
"73060","x-ray exam of humerus"
"73070","x-ray exam of elbow"
"73080","x-ray exam of elbow"
"73090","x-ray exam of forearm"
"73092","x-ray exam of arm infant"
"73100","x-ray exam of wrist"
"73110","x-ray exam of wrist"
"73120","x-ray exam of hand"
"73130","x-ray exam of hand"
"73140","x-ray exam of finger(s)"
"73200","ct upper extremity w/o dye"
"73201","ct upper extremity w/dye"
"73202","ct uppr extremity w/o&w/dye"
"73206","ct angio upr extrm w/o&w/dye"
"73218","mri upper extremity w/o dye"
"73219","mri upper extremity w/dye"
"73220","mri uppr extremity w/o&w/dye"
"73221","mri joint upr extrem w/o dye"
"73222","mri joint upr extrem w/dye"
"73223","mri joint upr extr w/o&w/dye"
"73225","mr angio upr extr w/o&w/dye"
"73501","x-ray exam hip uni 1 view"
"73502","x-ray exam hip uni 2-3 views"
"73503","x-ray exam hip uni 4/> views"
"73521","x-ray exam hips bi 2 views"
"73522","x-ray exam hips bi 3-4 views"
"73523","x-ray exam hips bi 5/> views"
"73551","x-ray exam of femur 1"
"73552","x-ray exam of femur 2/>"
"73560","x-ray exam of knee 1 or 2"
"73562","x-ray exam of knee 3"
"73564","x-ray exam knee 4 or more"
"73565","x-ray exam of knees"
"73590","x-ray exam of lower leg"
"73592","x-ray exam of leg infant"
"73600","x-ray exam of ankle"
"73610","x-ray exam of ankle"
"73620","x-ray exam of foot"
"73630","x-ray exam of foot"
"73650","x-ray exam of heel"
"73660","x-ray exam of toe(s)"
"73700","ct lower extremity w/o dye"
"73701","ct lower extremity w/dye"
"73702","ct lwr extremity w/o&w/dye"
"73706","ct angio lwr extr w/o&w/dye"
"73718","mri lower extremity w/o dye"
"73719","mri lower extremity w/dye"
"73720","mri lwr extremity w/o&w/dye"
"73721","mri jnt of lwr extre w/o dye"
"73722","mri joint of lwr extr w/dye"
"73723","mri joint lwr extr w/o&w/dye"
"73725","mr ang lwr ext w or w/o dye"
"74018","x-ray exam abdomen 1 view"
"74019","x-ray exam abdomen 2 views"
"74021","x-ray exam abdomen 3+ views"
"74022","x-ray exam complete abdomen"
"74150","ct abdomen w/o dye"
"74160","ct abdomen w/dye"
"74170","ct abdomen w/o & w/dye"
"74174","ct angio abd&pelv w/o&w/dye"
"74175","ct angio abdom w/o & w/dye"
"74176","ct abd & pelvis"
"74177","ct abd & pelv w/contrast"
"74178","ct abd & pelv 1/>regns"
"74181","mri abdomen w/o dye"
"74182","mri abdomen w/dye"
"74183","mri abdomen w/o & w/dye"
"74185","mri angio abdom w orw/o dye"
"74210","x-ray xm phrnx&/crv esoph c+"
"74220","x-ray xm esophagus 1cntrst"
"74221","x-ray xm esophagus 2cntrst"
"74230","x-ray xm swlng funcj c+"
"74240","x-ray xm upr gi trc 1cntrst"
"74246","x-ray xm upr gi trc 2cntrst"
"74248","x-ray sm int f-thru std"
"74250","x-ray xm sm int 1cntrst std"
"74251","x-ray xm sm int 2cntrst std"
"74270","x-ray xm colon 1cntrst std"
"74280","x-ray xm colon 2cntrst std"
"74261","ct colonography dx"
"74262","ct colonography dx w/dye"
"74290","contrast x-ray gallbladder"
"74710","x-ray measurement of pelvis"
"74712","mri fetal sngl/1st gestation"
"75557","cardiac mri for morph"
"75559","cardiac mri w/stress img"
"75561","cardiac mri for morph w/dye"
"75563","card mri w/stress img & dye"
"75565","card mri veloc flow mapping"
"75571","ct hrt w/o dye w/ca test"
"75572","ct hrt w/3d image"
"75573","ct hrt w/3d image congen"
"75574","ct angio hrt w/3d image"
"75635","ct angio abdominal arteries"
"76000","fluoroscopy <1 hr phys/qhp"
"76010","x-ray nose to rectum"
"76100","x-ray exam of body section"
"76120","cine/video x-rays"
"76125","cine/video x-rays add-on"
"76376","3d render w/o postprocess"
"76377","3d rendering w/postprocess"
"76380","cat scan follow-up study"
"76391","mr elastography"
"76499","radiographic procedure"
"76506","echo exam of head"
"76510","ophth us b & quant a"
"76511","ophth us quant a only"
"76512","ophth us b w/non-quant a"
"76513","oph us dx ant sgm us uni/bi"
"76514","echo exam of eye thickness"
"76516","echo exam of eye"
"76519","echo exam of eye"
"76536","us exam of head and neck"
"76604","us exam chest"
"76641","ultrasound breast complete"
"76642","ultrasound breast limited"
"76700","us exam abdom complete"
"76705","echo exam of abdomen"
"76706","us abdl aorta screen aaa"
"76770","us exam abdo back wall comp"
"76775","us exam abdo back wall lim"
"76776","us exam k transpl w/doppler"
"76800","us exam spinal canal"
"76801","ob us < 14 wks single fetus"
"76802","ob us < 14 wks addl fetus"
"76805","ob us >/= 14 wks sngl fetus"
"76810","ob us >/= 14 wks addl fetus"
"76811","ob us detailed sngl fetus"
"76812","ob us detailed addl fetus"
"76815","ob us limited fetus(s)"
"76816","ob us follow-up per fetus"
"76818","fetal biophys profile w/nst"
"76819","fetal biophys profil w/o nst"
"76820","umbilical artery echo"
"76821","middle cerebral artery echo"
"76825","echo exam of fetal heart"
"76826","echo exam of fetal heart"
"76827","echo exam of fetal heart"
"76828","echo exam of fetal heart"
"76856","us exam pelvic complete"
"76857","us exam pelvic limited"
"76870","us exam scrotum"
"76881","us compl joint r-t w/img"
"76882","us lmtd jt/nonvasc xtr strux"
"76885","us exam infant hips dynamic"
"76886","us exam infant hips static"
"76977","us bone density measure"
"76978","us trgt dyn mbubb 1st les"
"76979","us trgt dyn mbubb ea addl"
"76981","use parenchyma"
"76982","use 1st target lesion"
"76983","use ea addl target lesion"
"76999","echo examination procedure"
"77046","mri breast c-unilateral"
"77047","mri breast c-bilateral"
"77048","mri breast c-+ w/cad uni"
"77049","mri breast c-+ w/cad bi"
"77061","breast tomosynthesis uni"
"77062","breast tomosynthesis bi"
"77063","breast tomosynthesis bi"
"77065","dx mammo incl cad uni"
"77066","dx mammo incl cad bi"
"77067","scr mammo bi incl cad"
"77071","x-ray stress view"
"77072","x-rays for bone age"
"77073","x-rays bone length studies"
"77074","x-rays bone survey limited"
"77075","x-rays bone survey complete"
"77076","x-rays bone survey infant"
"77077","joint survey single view"
"77078","ct bone density axial"
"77080","dxa bone density axial"
"77081","dxa bone density/peripheral"
"77084","magnetic image bone marrow"
"77085","dxa bone density study"
"77086","fracture assessment via dxa"
"77089","tbs dxa cal w/i&r fx risk"
"78012","thyroid uptake measurement"
"78013","thyroid imaging w/blood flow"
"78014","thyroid imaging w/blood flow"
"78015","thyroid met imaging"
"78016","thyroid met imaging/studies"
"78018","thyroid met imaging body"
"78020","thyroid met uptake"
"78070","parathyroid nuclear imaging"
"78071","parathyrd planar w/wo subtrj"
"78072","parathyrd planar w/spect&ct"
"78075","adrenal nuclear imaging"
"78099","endocrine nuclear procedure"
"78102","bone marrow imaging ltd"
"78103","bone marrow imaging mult"
"78104","bone marrow imaging body"
"78140","red cell sequestration"
"78185","spleen imaging"
"78195","lymph system imaging"
"78199","blood/lymph nuclear exam"
"78201","liver imaging"
"78202","liver imaging with flow"
"78215","liver and spleen imaging"
"78216","liver & spleen image/flow"
"78226","hepatobiliary system imaging"
"78227","hepatobil syst image w/drug"
"78230","salivary gland imaging"
"78231","serial salivary imaging"
"78232","salivary gland function exam"
"78258","esophageal motility study"
"78261","gastric mucosa imaging"
"78262","gastroesophageal reflux exam"
"78264","gastric emptying study"
"78265","gastric emptying imag study"
"78266","gastric emptying imag study"
"78278","acute gi blood loss imaging"
"78282","gi protein loss exam"
"78290","meckels divert exam"
"78291","leveen/shunt patency exam"
"78299","gi nuclear procedure"
"78300","bone imaging limited area"
"78305","bone imaging multiple areas"
"78306","bone imaging whole body"
"78315","bone imaging 3 phase"
"78399","musculoskeletal nuclear exam"
"78428","cardiac shunt imaging"
"78429","myocrd img pet 1 std w/ct"
"78430","myocrd img pet rst/strs w/ct"
"78431","myocrd img pet rst&strs ct"
"78432","myocrd img pet 2rtracer"
"78433","myocrd img pet 2rtracer ct"
"78434","aqmbf pet rest & rx stress"
"78445","vascular flow imaging"
"78451","ht muscle image spect sing"
"78452","ht muscle image spect mult"
"78453","ht muscle image planar sing"
"78454","ht musc image planar mult"
"78456","acute venous thrombus image"
"78457","venous thrombosis imaging"
"78458","ven thrombosis images bilat"
"78459","myocrd img pet single study"
"78466","heart infarct image"
"78468","heart infarct image (ef)"
"78469","heart infarct image (3d)"
"78472","gated heart planar single"
"78473","gated heart multiple"
"78481","heart first pass single"
"78483","heart first pass multiple"
"78491","myocrd img pet 1std rst/strs"
"78492","myocrd img pet mlt rst&strs"
"78494","heart image spect"
"78496","heart first pass add-on"
"78499","cardiovascular nuclear exam"
"78579","lung ventilation imaging"
"78580","lung perfusion imaging"
"78582","lung ventilat&perfus imaging"
"78597","lung perfusion differential"
"78598","lung perf&ventilat diferentl"
"78599","respiratory nuclear exam"
"78600","brain image < 4 views"
"78601","brain image w/flow < 4 views"
"78605","brain image 4+ views"
"78606","brain image w/flow 4 + views"
"78608","brain imaging (pet)"
"78610","brain flow imaging only"
"78630","cerebrospinal fluid scan"
"78635","csf ventriculography"
"78645","csf shunt evaluation"
"78650","csf leakage imaging"
"78660","nuclear exam of tear flow"
"78699","nervous system nuclear exam"
"78700","kidney imaging morphol"
"78701","kidney imaging with flow"
"78707","k flow/funct image w/o drug"
"78708","k flow/funct image w/drug"
"78709","k flow/funct image multiple"
"78730","urinary bladder retention"
"78740","ureteral reflux study"
"78761","testicular imaging w/flow"
"78799","genitourinary nuclear exam"
"78800","rp loclzj tum 1 area 1 d img"
"78801","rp loclzj tum 2+area 1+d img"
"78802","rp loclzj tum whbdy 1 d img"
"78803","rp loclzj tum spect 1 area"
"78804","rp loclzj tum whbdy 2+d img"
"78811","pet image ltd area"
"78812","pet image skull-thigh"
"78813","pet image full body"
"78814","pet image w/ct lmtd"
"78815","pet image w/ct skull-thigh"
"78816","pet image w/ct full body"
"78999","nuclear diagnostic exam"
"91110","gi tract capsule endoscopy"
"91111","esophageal capsule endoscopy"
"92132","cpmtr ophth dx img ant segmt"
"92133","cmptr ophth img optic nerve"
"92134","cptr ophth dx img post segmt"
"92227","img rta detcj/mntr ds staff"
"92228","img rta detc/mntr ds phy/qhp"
"92229","img rta detc/mntr ds poc aly"
"93303","echo transthoracic"
"93304","echo transthoracic"
"93306","tte w/doppler complete"
"93307","tte w/o doppler complete"
"93308","tte f-up or lmtd"
"93320","doppler echo exam heart [if used in conjunction with 93303-93304]"
"93321","doppler echo exam heart [if used in conjunction with 93303, 93304, 93308]"
"93325","doppler color flow add-on [if used in conjunction with 76825, 76826, 76827,76828, 93303, 93304, 93308]"
"93356","myocrd strain img spckl trck"
"93875","extracranial study"
"93880","extracranial study"
"93882","extracranial study"
"93886","intracranial study"
"93888","intracranial study"
"93890","tcd vasoreactivity study"
"93892","tcd emboli detect w/o inj"
"93922","upr/l xtremity art 2 levels"
"93923","upr/lxtr art stdy 3+ lvls"
"93924","lwr xtr vasc stdy bilat"
"93925","lower extremity study"
"93926","lower extremity study"
"93930","upper extremity study"
"93931","upper extremity study"
"93970","extremity study"
"93971","extremity study"
"93975","vascular study"
"93976","vascular study"
"93978","vascular study"
"93979","vascular study"
"93980","penile vascular study"
"93981","penile vascular study"
"93990","doppler flow testing"
"93998","noninvas vasc dx study proc"
"97610","low frequency non-thermal us"
"A4641","radiopharm dx agent noc"
"A4642","in111 satumomab"
"A9500","tc99m sestamibi"
"A9501","technetium tc-99m teboroxime"
"A9502","tc99m tetrofosmin"
"A9503","tc99m medronate"
"A9504","tc99m apcitide"
"A9505","tl201 thallium"
"A9507","in111 capromab"
"A9508","i131 iodobenguate, dx"
"A9509","iodine i-123 sod iodide mil"
"A9510","tc99m disofenin"
"A9512","tc99m pertechnetate"
"A9515","choline c-11"
"A9516","iodine i-123 sod iodide mic"
"A9520","tc99 tilmanocept diag 0.5mci"
"A9521","tc99m exametazime"
"A9524","i131 serum albumin, dx"
"A9526","nitrogen n-13 ammonia"
"A9528","iodine i-131 iodide cap, dx"
"A9529","i131 iodide sol, dx"
"A9531","i131 max 100uci"
"A9532","i125 serum albumin, dx"
"A9536","tc99m depreotide"
"A9537","tc99m mebrofenin"
"A9538","tc99m pyrophosphate"
"A9539","tc99m pentetate"
"A9540","tc99m maa"
"A9541","tc99m sulfur colloid"
"A9542","in111 ibritumomab, dx"
"A9546","co57/58"
"A9547","in111 oxyquinoline"
"A9548","in111 pentetate"
"A9550","tc99m gluceptate"
"A9551","tc99m succimer"
"A9552","f18 fdg"
"A9553","cr51 chromate"
"A9554","i125 iothalamate, dx"
"A9555","rb82 rubidium"
"A9556","ga67 gallium"
"A9557","tc99m bicisate"
"A9558","xe133 xenon 10mci"
"A9559","co57 cyano"
"A9560","tc99m labeled rbc"
"A9561","tc99m oxidronate"
"A9562","tc99m mertiatide"
"A9566","tc99m fanolesomab"
"A9567","technetium tc-99m aerosol"
"A9568","technetium tc99m arcitumomab"
"A9569","technetium tc-99m auto wbc"
"A9570","indium in-111 auto wbc"
"A9571","indium in-111 auto platelet"
"A9572","indium in-111 pentetreotide"
"A9576","inj prohance multipack"
"A9577","inj multihance"
"A9578","inj multihance multipack"
"A9579","gad-base mr contrast nos,1ml"
